"extId","generalSophistication","WMC3","WMC6","MDT.ability","MDT.ability_sem","BAT.ability","BAT.ability_sem","Age","BioSex","Education","Education_Year","Ethnicity","Musicianship","processing","LAQ_music"
"AB2331",91,1,0.875,-0.229591502,0.57555973,-1.482958987,0.688969451,18,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",13,"Asian / Asian British",2,0.986111111111111,1
"AC1207",91,0.9583333335,0.875,0.62353158,0.495003985,-0.257311358,0.662595331,23,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",16,"Asian / Asian British",1,0.944444444444444,5
"AD0645",68,1,0.8958333335,0.943902049,0.492366266,-0.055628171,0.610338041,25,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",17,"Asian / Asian British",2,1,1
"AD2146",73,0.2916666665,0.2083333335,-0.990065235,0.690218135,-0.798097261,0.670998835,24,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",16,"Asian / Asian British",2,0.944444444444444,4
"AG1208",55,1,1,-1.00126259,0.486708351,-1.551367608,0.81543798,32,"Male","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",25,"White",2,0.986111111111111,1
"AH0747",67,0.416666667,0.125,-1.106654164,0.542468698,-1.433414018,0.836133881,19,"Female","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"Asian / Asian British",2,0.805555555555556,1
"AM0188",92,0.9166666665,0.8125,1.345729388,0.508480005,2.072313186,0.667973587,34,"Male","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",16,"Other",2,0.972222222222222,3
"AM0235",37,1,0.9375,-1.808744313,0.618032319,-0.875686529,0.663812818,18,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",13,"White",2,0.944444444444444,1
"AM1513",85,1,0.9583333335,1.139645042,0.500229751,0.39725066,0.592648897,19,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",15,"White",2,0.986111111111111,1
"AM2391",49,0.75,0.7291666665,-0.717846733,0.481217748,0.890511838,0.585495988,18,"Male","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",14,"White",2,0.972222222222222,1
