"extId","BAT.ability","BAT.ability_sem","BAT.num_items"
"DA1109",0.34121388,0.584218679,25
"RI1138",-0.37236522,0.61203298,25
"LA1521",0.482668742,0.618336581,25
"TY2295",1.214299352,0.580242209,25
"RA2307",0.545812977,0.577246169,25
"AN1883",0.116175601,0.589596188,25
"ES1009",-0.773406357,0.653760168,25
"NA2547",0.1198084,0.676134486,25
"KE2465",1.713816909,0.593143469,25
"RI2490",0.397485851,0.612462752,25
"RA1607",0.650444752,0.580503524,25
"EK0357",-2.451511945,1.211535641,25
"RI2080",-0.466982365,0.610488302,25
"HI1974",0.853404772,0.58467972,25
"NI0288",1.890859849,0.61838538,25
"EL1073",0.077373745,0.615821893,25
"AN0507",-0.416367609,0.609880174,25
"LA2639",-0.152344652,0.586674638,25
"IE1425",0.421717346,0.615135487,25
"NE0792",-4,2.108094166,25
"AN0154",-0.862333391,0.958317266,25
"LY0671",0.370584888,0.575724028,25
"IA1160",0.408212238,0.579801204,25
"IL2555",-1.359696202,0.712203614,25
"CY2785",0.000791056,0.616174068,25
"EI2360",0.181392406,0.576886497,25
"YI0692",-0.619428593,0.609102911,25
"IN0570",-2.071813802,0.931456819,25
"EP1416",-0.1027956,0.587835589,25
"OR0919",-2.973326717,1.829345688,25
"AM0235",-0.875686529,0.663812818,25
"AB2331",-1.482958987,0.688969451,25
"TA0364",-1.372192711,0.876728755,25
"YA2340",-2.493829816,1.233181605,25
"KA1447",-2.503389146,1.38008311,25
"SI0547",-0.417601574,0.58719909,25
"RU1941",-0.380634933,0.659339123,25
"EW2240",-0.053712707,0.666118363,25
"KA1365",-0.731332198,0.744240535,25
"NG1428",-0.97260223,0.743914599,25
"YA2120",-2.444914724,1.369827559,25
"TA2304",0.644617056,0.589937334,25
"NY1117",-0.834729632,0.605481482,25
"EY1994",0.034660344,0.614725043,25
"KA0797",-1.126064453,0.726681818,25
"UL2052",0.594868178,0.586256172,25
"IN2473",1.786807039,0.633159219,25
"JA2226",0.641044724,0.576924708,25
"YI2602",-0.411915305,0.589884701,25
"AN1382",0.710261779,0.587134868,25
"NA2314",0.032151531,0.609764945,25
"IA0618",0.468327151,0.621173202,25
"IE2895",-0.019349617,0.580010389,25
"LA1201",1.395612223,0.605733473,25
"IA2916",0.536732947,0.591498742,25
"MA1034",-0.614286732,0.773604834,25
"IS2838",-0.274143455,0.664873104,25
"AM1513",0.39725066,0.592648897,25
"ES1102",1.149143815,0.582348434,25
"TA2294",-1.485839136,0.698447037,25
"EN2058",0.301418697,0.613456889,25
"QI2574",-0.831646213,0.651659853,25
"RU3177",-0.016905588,0.586732613,25
"IA0715",0.836825192,0.582787839,25
"NI0447",0.384350611,0.581130731,25
"PH0501",1.197750543,0.615719651,25
"HI2240",-1.189116245,0.647964676,25
"HI1771",-0.755295142,0.737859589,25
"OM2797",1.075973872,0.578469857,25
"AN1217",-0.078742711,0.609384817,25
"ZE1494",-0.024423003,0.579781681,25
"SH1024",-1.7148281,0.819959837,25
"RA2703",0.576272308,0.585859617,25
"EW1418",0.450498403,0.590195099,25
"OR0339",-1.151741922,0.943713694,25
"UA1744",-0.807385264,0.740531392,25
"NI2511",-1.044870534,0.762464708,25
"TY3111",-0.716204359,0.667536298,25
"IE1220",-0.536769592,0.7553299,25
"UN2428",-0.928327066,0.757679055,25
"AS2138",0.78484344,0.577588847,25
"YA1310",0.790511167,0.583504844,25
"AN2325",-0.010604454,0.589295925,25
"YA1806",1.071172089,0.594065286,25
"MI1958",-0.434240759,0.770770306,25
"LY2007",0.318293623,0.586161367,25
"EL2128",-0.252048153,0.660490655,25
"CE2244",-0.18374018,0.673734268,25
"NI2961",-0.7854118,0.985253779,25
"AN2885",0.895646383,0.580949026,25
"EH2880",-1.80170937,0.786350665,25
"UT3036",0.328701628,0.5918744,25
"US0117",-0.16230062,0.609967819,25
"MA0692",0.511714154,0.58908166,25
"AN0510",-0.921318402,0.652234326,25
"EL0556",-0.432869579,0.657359506,25
"IE3106",-0.366603546,0.679796053,25
"MA2300",1.021975129,0.582780594,25
"AY1953",-1.323154309,0.908408315,25
"AD2146",-0.798097261,0.670998835,25
"LA1360",-0.008557425,0.590527701,25
"AN2015",-0.629345799,0.766282078,25
"TH2817",-2.799640998,0.921922576,25
"KE2580",-0.708808994,0.606239249,25
"AM0188",2.072313186,0.667973587,25
"HY1498",0.193713959,0.586035778,25
"RI1406",0.688979646,0.582700481,25
"AO2840",-0.381864068,0.609838779,25
"EM1190",-0.98875444,0.722940043,25
"AH0747",-1.433414018,0.836133881,25
"TA0820",-0.063679672,0.59301937,25
"NO2986",-0.767186712,0.611707555,25
"SA2885",0.982346635,0.582295507,25
"BE1252",0.756560603,0.579956657,25
"LA1351",-2.554656229,1.188674103,25
"AC1207",-0.257311358,0.662595331,25
"IE0902",-1.997353104,1.002705427,25
"TH0871",-0.274575356,0.612798945,25
"AN3158",-2.393593918,1.717757972,25
"NA1064",-0.370448919,0.611110631,25
"IA0615",-0.494568699,0.614380465,25
"KA1245",-0.692798008,0.660914664,25
"RA1412",0.45367437,0.586066487,25
