"extId","generalSophistication"
"DA1109",41
"RI1138",43
"MA2107",57
"DI0621",55
"IT0947",70
"AN1300",52
"ER0194",46
"AG1208",55
"IZ2252",81
"AD0645",68
"IZ0746",65
"AM2586",58
"EL0968",70
"AN2176",80
"FA3189",65
"ZE0580",63
"YA1185",65
"HA1083",91
"UH1865",55
"RA2307",105
"TY2295",82
"LA1521",71
"NO2789",56
"AN2840",49
"UR2297",83
"ET0193",83
"AN1883",47
"ES1009",77
"AZ1889",31
"SZ0779",67
"SA0914",82
"KE2465",62
"AY0849",43
"IF1417",75
"NA2547",63
"EK0357",78
"IE1425",64
"RI2490",98
"ET0355",49
"RI2080",84
"RA1607",77
"RI0316",74
"YA2363",76
"IL2555",57
"EI2360",57
"AR1989",43
"WW0873",91
"HI1974",54
"ST2722",48
"AN0507",43
"RA2435",56
"EL1073",103
"NI0288",92
"CY2785",64
"EM0118",40
"EL0562",72
"IA1139",62
"AB2331",91
"IA2916",82
"NA2314",73
"TA0451",56
"El12050431",41
"AN1382",106
"YA2340",84
"KA0797",66
"NE0792",59
"OR0919",54
"AN1654",53
"LA2639",58
"IE0242",81
"EO0891",72
"AN0154",47
"EE0753",71
"YI2480",45
"TA2304",42
"OT0758",56
"IA1160",75
"LY0671",89
"IE1199",60
"IA1308",47
"IS2838",56
"YI0692",85
"EP1416",65
"IN0570",34
"SA2623",65
"TA0164",55
"AM0235",37
"TA0364",48
"IA0618",41
"RU1941",62
"KA1447",60
"IE2304",94
"SH1504",37
"EW2240",69
"AN0653",49
"NG1428",60
"KA1365",68
"YU0785",71
"CA2680",60
"YA1703",80
"AR0464",50
"IN2473",64
"LY2811",97
"IE0565",48
"SI0547",96
"UN1577",81
"RU3177",81
"ER2636",67
"EN2058",85
"NY1117",78
"YA2120",79
"EY1994",67
"IS0276",49
"QI2574",87
"ME2455",67
"NG2907",76
"TH2817",35
"HI1771",75
"UB1675",59
"HI2999",61
"NA1268",62
"ES1102",80
"IE2895",64
"AN2240",78
"JA2226",54
"UL2052",59
"YI2602",83
"AM1513",85
"OR0339",56
"LA1201",57
"MA1034",59
"JA1504",48
"DA0594",48
"TA2294",88
"FA1171",68
"CA2618",65
"YS1669",93
"IA0715",75
"RO2840",62
"EL2887",81
"ES1586",62
"NI2511",51
"NI0447",39
"PH0501",99
"KE1191",59
"ER3038",98
"HI2240",87
"AM2391",49
"NG1897",84
"IE1589",84
"NY0246",38
"TH0246",41
"OM2797",107
"SH1024",53
"AN1217",68
"ZE1494",101
"AR0963",70
"BE0899",34
"ly2618",108
"EW1418",55
"RA2703",39
"IM1173",78
"DA0321",72
"NA0742",54
"UA1744",96
"CE2244",41
"YN2494",93
"AN2885",72
"NI1880",56
"AN2870",74
"AN2632",71
"ES0908",97
"TY3111",85
"OR2427",28
"YA1310",66
"IE1220",32
"MI1958",98
"YA1806",76
"LA2498",45
"IN2705",62
"UN2428",64
"ER1830",72
"AS2138",93
"IE0313",41
"by2405",91
"IA1535",50
"IR1090",56
"LL0234",66
"IA2245",85
"TA2553",67
"LY2007",55
"AN2325",58
"NU3009",52
"EL2128",74
"US0117",63
"MA0692",35
"UT3036",70
"NI2961",38
"EH2880",70
"JA2010",50
"DI1828",62
"KA1245",50
"LA1360",46
"IE3106",54
"AN0520",96
"NA0890",72
"KA1880",53
"EA2411",56
"DA2623",60
"AN0510",71
"HA2167",80
"MA2300",81
"NE0118",64
"NG1142",70
"IE1066",38
"AN2015",56
"EL0556",94
"SH2796",53
"AN3158",51
"AY1953",39
"AO2840",83
"HY1498",78
"NA2786",76
"IE1555",41
"EW1371",57
"AM2918",82
"RI1406",54
"TH0335",73
"AR1915",70
"AD2146",73
"KE2580",41
"IE1002",96
"MI1315",64
"TA0820",65
"EM1190",54
"CK0735",99
"HA0458",63
"IU1413",77
"AM0188",92
"AH0747",67
"NA0345",67
"NA1874",58
"LI0528",73
"IL0314",75
"LA0766",61
"NI2038",42
"IA2689",94
"EL0989",84
"IE0817",51
"RA1724",56
"DU1145",68
"NO2986",67
"SA2885",50
"BE1252",69
"IM0389",51
"MY3136",65
"HA0538",39
"NA1579",87
"LA1351",40
"NI2709",71
"TH1090",85
"TH0871",47
"IA0615",47
"AC1207",91
"IE0902",82
"NA1064",52
"MA417",70
"RA3059",51
"EA0378",101
"AN0596",58
"CA3097",50
"RA2037",87
"RA1412",40
"AN0527",61
"CP0636",52
"SA2280",53
"LA2597",86
"EL0448",43
"AN1953",99
"MA0417",67
"HA2096",64
"RI0573",84
"NE3022",51
"YN1017",91
"Ni1880",56
"RA1335",85
"IN2774",68
"IE2827",80
"UR1876",54
