"extId","MDT.ability","MDT.ability_sem","MDT.num_items"
"DA1109",-0.429615824,0.52274635,20
"RI1138",-0.197912174,0.484332022,20
"LA1521",0.001290072,0.489427033,20
"TY2295",-0.657597039,0.512672512,20
"RA2307",1.379273626,0.491922189,20
"AN1883",-1.243637895,0.550265357,20
"ES1009",-0.84681824,0.642500746,20
"NA2547",0.424283645,0.481723983,20
"KE2465",0.046539634,0.491178012,20
"RI2490",1.345537466,0.502724178,20
"RA1607",1.568690531,0.498776611,20
"EK0357",-1.191116479,0.840662491,20
"RI2080",1.656537989,0.536848578,20
"HI1974",-0.448946774,0.511793475,20
"NI0288",0.072599457,0.482853326,20
"EL1073",-0.071584183,0.491521751,20
"AN0507",-1.353304676,0.638092242,20
"IE1425",0.05845776,0.488941869,20
"LA2639",0.279835876,0.482869561,20
"NE0792",-0.107525902,0.481896307,20
"AN0154",0.050221777,0.487235719,20
"IA1160",-0.887826348,0.513186065,20
"LY0671",0.122711583,0.490910298,20
"IL2555",-0.74102591,0.487612899,20
"EI2360",-0.045929642,0.519769671,20
"CY2785",1.26486102,0.506763421,20
"YI0692",-1.553966103,0.551154407,20
"IN0570",-1.07033869,0.487444891,20
"EP1416",-0.547938294,0.488309366,20
"AM0235",-1.808744313,0.618032319,20
"OR0919",-1.501600045,0.725974746,20
"AB2331",-0.229591502,0.57555973,20
"YA2340",0.897367379,0.504399442,20
"TA0364",-2.057756955,0.719169092,20
"KA1447",-0.675614452,0.476862235,20
"SI0547",-0.027538908,0.479017295,20
"RU1941",0.124073362,0.530497139,20
"KA1365",-1.448075237,0.550489422,20
"EW2240",-0.446912756,0.510702693,20
"NG1428",-0.736598628,0.486885625,20
"YA2120",-0.993818339,0.56409154,20
"TA2304",-0.850890884,0.513584736,20
"EY1994",0.665710276,0.490713342,20
"NY1117",0.405470027,0.481915968,20
"KA0797",-0.266352204,0.521067626,20
"UL2052",-0.044631755,0.478478671,20
"IN2473",-0.491502657,0.49116427,20
"JA2226",0.632853745,0.503363371,20
"YI2602",0.20782713,0.479195841,20
"IA0618",-1.118499332,0.552867743,20
"LA1201",-1.385799397,0.598868712,20
"AN1382",0.917758753,0.48457877,20
"NA2314",0.59551248,0.482885171,20
"IE2895",0.458297853,0.497054853,20
"IA2916",-0.102288262,0.488939975,20
"MA1034",-0.651084304,0.515829872,20
"IS2838",-0.672371866,0.562824605,20
"QI2574",-0.355399759,0.497928978,20
"AM1513",1.139645042,0.500229751,20
"ES1102",1.559053276,0.530389615,20
"EN2058",0.31417782,0.480839755,20
"TA2294",0.474450823,0.487702294,20
"RU3177",-0.310957442,0.570992564,20
"IA0715",-0.883861038,0.556624782,20
"NI0447",-1.900489131,1.008839036,20
"PH0501",0.345623468,0.481066043,20
"HI2240",0.152997919,0.478050072,20
"HI1771",0.376577233,0.505166887,20
"OM2797",0.175923865,0.486493525,20
"AN1217",-0.112972958,0.482683918,20
"ZE1494",0.536477349,0.480854666,20
"EW1418",-0.601911044,0.476267812,20
"SH1024",0.109737881,0.492478075,20
"RA2703",0.363575931,0.495648613,20
"OR0339",-0.849108838,0.639535321,20
"UA1744",-0.525180876,0.478036678,20
"NI2511",-0.869174914,0.551841247,20
"TY3111",0.741172096,0.502494759,20
"IE1220",-0.897287572,0.514942314,20
"UN2428",0.856195314,0.510799777,20
"AS2138",-0.248795176,0.489095726,20
"AN2325",0.291627699,0.47896964,20
"YA1310",-0.077607766,0.528318724,20
"YA1806",0.33899283,0.482627055,20
"MI1958",1.076637505,0.499239906,20
"LY2007",-0.813392486,0.480167503,20
"EL2128",0.370793996,0.481756821,20
"CE2244",-1.600054662,0.549075654,20
"AN2885",-1.600054662,0.549075654,20
"NI2961",-1.809582389,0.79000133,20
"EH2880",-0.369075663,0.477680005,20
"UT3036",-1.5514541,0.546550311,20
"US0117",-0.234039382,0.512628616,20
"MA0692",-0.063352941,0.515963882,20
"AN0510",0.279003969,0.493810801,20
"IE3106",-0.828023353,0.679633944,20
"EL0556",1.041276655,0.496194429,20
"MA2300",1.210242168,0.497328473,20
"AY1953",-0.943372128,0.509576112,20
"AD2146",-0.990065235,0.690218135,20
"LA1360",-0.813070695,0.562310717,20
"AN2015",0.538656737,0.481210433,20
"TH2817",0.369689228,0.484647429,20
"KE2580",-0.070692673,0.487830436,20
"AM0188",1.345729388,0.508480005,20
"HY1498",-0.22150264,0.513710915,20
"RI1406",-0.285438576,0.483456299,20
"AO2840",-0.084083081,0.478929253,20
"EM1190",-0.704484731,0.47589886,20
"AH0747",-1.106654164,0.542468698,20
"TA0820",-0.949717087,0.552299694,20
"SA2885",0.015555841,0.491093705,20
"NO2986",0.242100766,0.533921076,20
"BE1252",0.825800983,0.483489149,20
"LA1351",-0.022737906,0.582379128,20
"AC1207",0.62353158,0.495003985,20
"TH0871",0.261344643,0.495267002,20
"IE0902",0.062710507,0.482796381,20
"AN3158",-0.287367183,0.51484103,20
"NA1064",-0.541135536,0.513120096,20
"KA1245",-2.597439574,1.081662288,20
"IA0615",-1.395955647,0.559935472,20
"RA1412",-0.186466602,0.490747231,20
"RA2037",1.650175231,0.501584103,20
"IE2827",-0.093083222,0.48762339,20
"IN2774",1.426902724,0.54330282,20
"NE3022",-0.247040325,0.489174167,20
"UR1876",0.074547969,0.491267557,20
"DI0621",-0.934178714,0.560894387,20
"IT0947",-1.137572116,0.490722899,20
"MA2107",-1.31436859,0.613356791,20
"ER0194",-0.072205092,0.483489889,20
"AD0645",0.943902049,0.492366266,20
