extId,setSize,half,wmc
AB2331,3,1,1
AB2331,3,2,1
AB2331,6,1,1
AB2331,6,2,0.75
AC1207,3,1,0.916666667
AC1207,3,2,1
AC1207,6,1,1
AC1207,6,2,0.75
AD0645,3,1,1
AD0645,3,2,1
AD0645,6,1,1
AD0645,6,2,0.791666667
AD2146,3,1,0.25
AD2146,3,2,0.333333333
AD2146,6,1,0.25
AD2146,6,2,0.166666667
AG1208,3,1,1
AG1208,3,2,1
AG1208,6,1,1
AG1208,6,2,1
AH0747,3,1,0.416666667
AH0747,3,2,0.416666667
AH0747,6,1,0.125
AH0747,6,2,0.125
AM0188,3,1,0.833333333
AM0188,3,2,1
AM0188,6,1,0.916666667
AM0188,6,2,0.708333333
AM0235,3,1,1
AM0235,3,2,1
AM0235,6,1,0.875
AM0235,6,2,1
AM1513,3,1,1
AM1513,3,2,1
AM1513,6,1,1
AM1513,6,2,0.916666667
AM2391,3,1,0.5
AM2391,3,2,1
AM2391,6,1,0.75
AM2391,6,2,0.708333333
AM2586,3,1,1
AM2586,3,2,1
AM2586,6,1,1
AM2586,6,2,0.833333333
AN0154,3,1,1
AN0154,3,2,1
AN0154,6,1,1
AN0154,6,2,0.875
AN0507,3,1,0.166666667
AN0507,3,2,0.083333333
AN0507,6,1,0.083333333
AN0507,6,2,0.125
AN0510,3,1,1
AN0510,3,2,1
AN0510,6,1,0.875
AN0510,6,2,1
AN0520,3,1,1
AN0520,3,2,1
AN0520,6,1,1
AN0520,6,2,0.958333333
AN0527,3,1,1
AN0527,3,2,1
AN0527,6,1,1
AN0527,6,2,1
AN0596,3,1,0.166666667
AN0596,3,2,0.083333333
AN0596,6,1,0.25
AN0596,6,2,0.125
AN1217,3,1,1
AN1217,3,2,1
AN1217,6,1,0.916666667
AN1217,6,2,1
AN1300,3,1,1
AN1300,3,2,1
AN1300,6,1,0.916666667
AN1300,6,2,0.916666667
AN1382,3,1,1
AN1382,3,2,0.916666667
AN1382,6,1,1
AN1382,6,2,0.875
AN1883,3,1,1
AN1883,3,2,1
AN1883,6,1,0.875
AN1883,6,2,0.875
AN1953,3,1,1
AN1953,3,2,1
AN1953,6,1,0.916666667
AN1953,6,2,1
AN2015,3,1,1
AN2015,3,2,1
AN2015,6,1,0.875
AN2015,6,2,1
AN2176,3,1,1
AN2176,3,2,1
AN2176,6,1,0.666666667
AN2176,6,2,0.833333333
AN2325,3,1,1
AN2325,3,2,1
AN2325,6,1,0.958333333
AN2325,6,2,0.875
AN2632,3,1,0.916666667
AN2632,3,2,1
AN2632,6,1,1
AN2632,6,2,1
AN2840,3,1,1
AN2840,3,2,1
AN2840,6,1,0.833333333
AN2840,6,2,0.916666667
AN2885,3,1,0.333333333
AN2885,3,2,0.416666667
AN2885,6,1,0.25
AN2885,6,2,0.166666667
AN3158,3,1,1
AN3158,3,2,1
AN3158,6,1,0.875
AN3158,6,2,0.75
AO2840,3,1,1
AO2840,3,2,1
AO2840,6,1,1
AO2840,6,2,1
AR0464,3,1,0.916666667
AR0464,3,2,0.75
AR0464,6,1,0.416666667
AR0464,6,2,0.75
AR1915,3,1,0.25
AR1915,3,2,0.5
AR1915,6,1,0.25
AR1915,6,2,0.208333333
AR1989,3,1,1
AR1989,3,2,1
AR1989,6,1,1
AR1989,6,2,0.833333333
AS2138,3,1,1
AS2138,3,2,1
AS2138,6,1,0.875
AS2138,6,2,0.75
AY0849,3,1,0.75
AY0849,3,2,1
AY0849,6,1,0.75
AY0849,6,2,0.916666667
AY1953,3,1,1
AY1953,3,2,1
AY1953,6,1,0.875
AY1953,6,2,0.875
BE0899,3,1,1
BE0899,3,2,1
BE0899,6,1,0.916666667
