"extId","Age","BioSex","Gender","Handedness","Education","Education_Note","Education_Year","SES_Ladder","Ethnicity","Ethnicity_Note","Occupation","Occupation_Note","Musicianship","LAQ_music","userCode"
"DA1109","34","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,18,"8","White",NA,"School/training (not paid by employer)",NA,2,1,146969
"RI1138","31","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,15,"6","Asian / Asian British",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,146970
"MA2107","35","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,18,"6","Asian / Asian British",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147145
"DI0621","30","Male","Male","My hand preference varies / I have equal ability in both hands","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,18,"7","White",NA,"School/training (not paid by employer)",NA,2,1,147132
"IT0947","33","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,23,"7","Other",NA,"School/training (not paid by employer)",NA,2,1,147146
"AN1300","31","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,19,"8","Other","Turkish","School/training (not paid by employer)",NA,2,1,148526
"ER0194","28","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,15,"7","Other","Turkish","School/training (not paid by employer)",NA,2,1,147147
"AG1208","32","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,25,"6","White",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147177
"IZ2252","31","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,24,"7","Other","Turkish","School/training (not paid by employer)",NA,2,1,147210
"AD0645","25","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,17,"7","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147153
"IZ0746","34","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,24,"6","White",NA,"Other employment situation","PhD student",2,1,147173
"AM2586","32","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,18,"6","White",NA,"Other employment situation","On postgraduate studies paid by my employer",2,1,147200
"EL0968","33","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,20,"7","White",NA,"School/training (not paid by employer)",NA,2,1,147209
"AN2176","31","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Diploma of higher education (DipHE); Foundation degree; Level 5 award, certificate, diploma, or NVQ",NA,15,"7","White",NA,"Housework, taking care of children or others",NA,2,1,147208
"FA3189","24","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,16,"6","White",NA,"School/training (not paid by employer)",NA,2,1,147216
"ZE0580","24","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,17,"6","White",NA,"Housework, taking care of children or others",NA,2,1,147215
"YA1185","31","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,16,"6","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,1,147242
"HA1083","30","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,12,"6","Prefer not to answer",NA,"School/training (not paid by employer)",NA,2,1,147243
"UH1865","24","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,12,"6","Other","Javanese","School/training (not paid by employer)",NA,2,2,147381
"RA2307","31","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Doctorate (e.g., PhD, DPhil); Level 8 award, certificate, or diploma",NA,24,"6","Mixed / Multiple Ethnic Groups",NA,"Paid activity (employed, self-employed, family helper)",NA,1,4,147307
"TY2295","31","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,17,"8","Asian / Asian British",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147305
"LA1521","22","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,15,"8","Asian / Asian British",NA,"School/training (not paid by employer)",NA,2,6,147306
"AN2840","35","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Diploma of higher education (DipHE); Foundation degree; Level 5 award, certificate, diploma, or NVQ",NA,21,"4","White",NA,"Paid activity (employed, self-employed, family helper)",NA,2,1,147319
"UR2297","26","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Degree apprenticeship; Degree with honours (e.g., BA, BSc); Graduate certificate; Graduate diploma; Level 6 award, certificate, diploma, or NVQ; Ordinary degree without honours",NA,16,"8","Other","Middle Eastern","School/training (not paid by employer)",NA,2,1,147427
"ET0193","29","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,22,"5","Prefer not to answer",NA,"School/training (not paid by employer)",NA,1,2,147329
"AN1883","31","Female","Female","Right handed; I perform most tasks, such as writing, using my right hand","Integrated master's degree (E.g., MEng); Level 7 award, certificate, diploma, or NVQ; Master'39;s degree (E.g., MA, MSc); Postgraduate certificate; Postgraduate certificate in education (PGCE); Postgraduate diploma",NA,14,"4","Other","Indonesian","School/training (not paid by employer)",NA,2,1,147339
"ES1009","23","Male","Male","My hand preference varies / I have equal ability in both hands","Diploma of higher education (DipHE); Foundation degree; Level 5 award, certificate, diploma, or NVQ",NA,3,"6","Asian / Asian British",NA,"Other employment situation","STUDENT",2,1,147340
"SZ0779","21","Male","Male","Right handed; I perform most tasks, such as writing, using my right hand","A level; Access to higher education diploma; Advanced apprenticeship; Applied general; AS level; International Baccalaureate diploma; Level 3 award, certificate, diploma, ESOL, or NVQ; Music grades 6-8; Tech level",NA,15,"3","White",NA,"School/training (not paid by employer)",NA,1,1,147379
